ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,Category,Validated_Genes_Found,n_Validated
GO:0030865,cortical cytoskeleton organization,47,0.5363451609937293,2.1788469140864604,6.173644824029164e-6,2.3476687544467264e-4,1.6246433747445167e-4,2833,"tags=51%, list=23%, signal=40%",ANLN/RHOQ/EZR/FMNL2/PLEC/IQGAP1/TLN1/LLGL1/RTKN/VPS4A/RHOG/ROCK1/DLG1/LLGL2/FMNL3/ARF6/KANK1/RAB13/EHD2/RACGAP1/RAC1/PPFIA1/EPB41L1/PPFIBP1,GO_BP,ANLN/RHOQ/EZR/FMNL2/PLEC/IQGAP1/TLN1/LLGL1,8
GO:0030866,cortical actin cytoskeleton organization,33,0.6025468576099666,2.2393706470220023,9.79849182195109e-6,3.2273300229308197e-4,2.2333901790605467e-4,2499,"tags=55%, list=20%, signal=44%",ANLN/RHOQ/EZR/FMNL2/PLEC/IQGAP1/TLN1/LLGL1/RTKN/VPS4A/ROCK1/DLG1/LLGL2/FMNL3/ARF6/RAB13/EHD2/RACGAP1,GO_BP,ANLN/RHOQ/EZR/FMNL2/PLEC/IQGAP1/TLN1/LLGL1,8
GO:0043648,dicarboxylic acid metabolic process,82,-0.45593641849885874,-2.1279731645247435,1.067333519317319e-5,3.479612445135274e-4,2.407975697150623e-4,3848,"tags=51%, list=31%, signal=36%",FAHD1/IDH2/DGLUCY/SDHA/ATCAY/SUCLG2/ADSS2/AASDHPPT/FAHD2A/ASL/ACLY/NIT2/GOT1/GCLM/FTCD/OAT/MDH1/SLC25A32/MTHFD1L/DLST/SUCLA2/MDH2/DLD/FAHD2B/GAD1/ACOT8/ADHFE1/GLS2/GAD2/ASS1/FH/OGDHL/PHYH/ALDH18A1/ME3/MTHFD1/SDHB/ACOT4/AADAT/ME1/ALDH5A1/ME2,GO_BP,PHYH/MTHFD1/SDHB/ME1/ALDH5A1/ME2,6
GO:0007422,peripheral nervous system development,64,0.48000460816633705,2.0754645897451987,1.0730815334029413e-5,3.479612445135274e-4,2.407975697150623e-4,3116,"tags=52%, list=25%, signal=39%",RAF1/SKI/NFASC/SOX10/PRX/SOX8/POU3F2/PLEC/ERBB3/LAMB2/RELA/ILK/MED12/UGT8/AKT1/FA2H/MAPK3/PARD3/ASCL1/SIRT2/LAMA2/PALS1/COL6A1/HAPLN2/EDNRB/MAP2K2/NEFH/ARHGEF10/NDRG1/NAB1/SOS1/DAG1/AKT2,GO_BP,RAF1/SKI/NFASC/SOX10/PRX/SOX8/POU3F2/PLEC/ERBB3/LAMB2/ILK/MED12/UGT8/ASCL1,14
GO:0007492,endoderm development,60,0.49828185586197826,2.117172861971777,1.4065704961362636e-5,4.263539409665211e-4,2.9504720552057397e-4,2786,"tags=48%, list=22%, signal=38%",SETD2/BRD3/EP300/PAF1/BMPR1A/TGFB1/NOG/BPTF/ITGB5/SMAD2/NOTCH1/MED12/SMAD4/DUSP1/ZFP36L1/COL6A1/SOX2/COL11A1/TNRC6A/ITGA5/MYH9/CTR9/HDAC1/MMP15/KIF16B/CDC73/ITGB2/SSBP3/LAMC1,GO_BP,BRD3/PAF1/TGFB1/BPTF/ITGB5/MED12/DUSP1,7
GO:0062014,negative regulation of small molecule metabolic process,75,0.4532414381376378,2.0386916545726805,1.920610140324985e-5,5.216595964494514e-4,3.610010167057114e-4,3167,"tags=47%, list=26%, signal=35%",GIT1/EP300/GCHFR/NFKB1/DDIT4/PRKG1/CRY1/UBR4/SIRT1/HDAC4/C1QTNF3/AKT1/PARP1/DKK3/PPARA/SIRT2/TSPO/KAT2B/NUPR1/NCOR1/CBFA2T3/FLCN/ACACB/GCK/REST/ACADVL/APPL2/SIRT4/PLIN5/WDTC1/MFSD2A/APOE/STAT3/ERLIN1/DCAF5,GO_BP,GIT1/GCHFR/DDIT4/UBR4,4
GO:0035329,hippo signaling,50,0.5263173027880995,2.1674306187200356,2.3619557162701465e-5,6.061386970035597e-4,4.1946259087781093e-4,1777,"tags=38%, list=14%, signal=33%",MAP4K4/WWC3/TEAD2/NF2/CORO7/MAP2K3/WWC1/SLMAP/STK4/SIRT1/WTIP/TEAD1/WWTR1/MOB3B/AMOT/DLG5/SAV1/TIAL1/STRN4,GO_BP,MAP4K4/TEAD2/NF2/CORO7/MAP2K3/WTIP,6
GO:0006099,tricarboxylic acid cycle,30,-0.5915878261641954,-2.2081353978544596,3.740618548548563e-5,8.132489338786827e-4,5.627878677268587e-4,2069,"tags=60%, list=17%, signal=50%",MDH1/ACO2/NNT/SDHD/ACO1/DLST/SUCLA2/IDH3G/MDH2/DLD/PDHA1/DLAT/FH/OGDHL/SDHC/SDHAF4/SDHB/SUCLG1,GO_BP,PDHA1/SDHAF4/SDHB/SUCLG1,4
GO:0046330,positive regulation of JNK cascade,66,0.4626142625842831,2.0101229388218442,4.9406536031479946e-5,9.748468878286821e-4,6.746175475996517e-4,3569,"tags=50%, list=29%, signal=36%",DAB2IP/MAP2K7/MAP3K10/AXIN1/MAPKBP1/DVL3/MAP4K2/CRK/HIPK2/MTURN/TPD52L1/TAOK2/RNF13/RASSF2/MAP3K11/MAPK8IP1/DVL2/FZD7/MINK1/WNT7A/DUSP22/TAOK1/FLT4/CCN2/TRAF4/GADD45G/DUSP19/MFHAS1/TLR4/PYCARD/CCDC88C/MAP3K5/CARD9,GO_BP,DAB2IP/MAP2K7/MAP3K10/AXIN1/MAPKBP1/DVL3/CRK/HIPK2,8
GO:0042475,odontogenesis of dentin-containing tooth,43,0.5267551060638029,2.075310156374685,5.237794130819569e-5,0.0010143376319082526,7.019460945299131e-4,2475,"tags=42%, list=20%, signal=34%",NFIC/ANKRD11/SLC4A2/BMPR1A/TGFB1/NF2/MSX1/SMO/CSF1/PPARA/LRP4/HDAC1/CSF3R/TCIRG1/BSG/BAX/CTNNA1/LAMA5,GO_BP,NFIC/ANKRD11/SLC4A2/TGFB1/NF2,5
GO:0007007,inner mitochondrial membrane organization,43,-0.5294733710253746,-2.1582674042408194,6.172013470159038e-5,0.0011474458820300113,7.940602125350808e-4,2150,"tags=49%, list=17%, signal=41%",TIMM9/MICU1/MICOS10/CHCHD6/TOMM70/SLC25A46/TIMM8A/APOO/TIMM10/HSPA9/TMEM126A/MTX2/TIMM10B/AGK/GHITM/OPA1/IMMT/OXA1L/COX18/TIMM8B/MICOS13,GO_BP,OPA1/COX18/TIMM8B/MICOS13,4
GO:0060415,muscle tissue morphogenesis,39,0.5433561512214948,2.107048526978863,1.0719668166223312e-4,0.001744761554058837,0.0012074170574283886,2593,"tags=51%, list=21%, signal=41%",EGLN1/NAGLU/DLL4/BMPR1A/TGFB1/NOG/HEY2/NOTCH1/RBPJ/VANGL2/SMAD7/SMAD4/FZD1/MED1/COL11A1/CHD7/FGFR2/S1PR1/TGFB2/TGFBR1,GO_BP,EGLN1/NAGLU/DLL4/TGFB1/RBPJ/SMAD7,6
GO:0030261,chromosome condensation,22,0.6281705054834721,2.064603396056443,2.0156163721123574e-4,0.002764368290015079,0.001913009498984981,2196,"tags=45%, list=18%, signal=37%",BAZ1B/ACIN1/AKAP8/GPER1/CHMP1A/NCAPD2/AKAP8L/KMT5A/PHF13/NCAPG2,GO_BP,BAZ1B/ACIN1/AKAP8/GPER1,4
