ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,Category,Validated_Genes_Found,n_Validated
hsa04518,Integrin signaling,108,0.42857252907481685,2.040788020797777,1.8943253752623452e-6,2.95272481203203e-5,1.530008946107521e-5,2969,"tags=42%, list=24%, signal=32%",PIK3R2/NPNT/ITGA10/TGFB1/ITGB5/NCK2/PIK3CD/LAMB2/ILK/PXN/TLN1/PDGFRB/COL6A2/AKT1/IGF1R/SPP1/COL9A2/ACTN4/ITGB1/ITGB8/PGF/LAMA2/VEGFB/COL1A2/PIK3R3/CCND3/ARHGEF6/COL6A1/ITGA5/PDGFA/THBS2/PARVA/LAMA5/ITGB2/FLT4/ITGAX/RAC1/LAMC1/TNXB/LAMA1/FLT1/EGFR/PARVG/ITGA3/ICAM2,KEGG,PIK3R2/ITGA10/TGFB1/ITGB5/NCK2/LAMB2/ILK/TLN1/PDGFRB/COL6A2/ITGB1,11
hsa04662,B cell receptor signaling pathway,53,0.5261429345144192,2.158756746358474,7.287741146632912e-6,1.003623115405426e-4,5.2004587045612756e-5,2329,"tags=40%, list=19%, signal=32%",NFKBIA/RAF1/PIK3R2/INPPL1/NFKB1/CHUK/PIK3CD/RELA/SOS2/RASGRP3/IKBKB/NFKBIB/AKT1/MAPK3/CD22/NFATC3/PIK3R3/PPP3CC/INPP5D/MAP2K2/NFATC1,KEGG,NFKBIA/RAF1/PIK3R2/INPPL1/RASGRP3/IKBKB/NFKBIB/CD22,8
hsa04012,ErbB signaling pathway,80,0.45890059412379236,2.0677971031937514,7.457261538616168e-6,1.003623115405426e-4,5.2004587045612756e-5,2320,"tags=38%, list=19%, signal=31%",PAK4/RAF1/MAP2K7/PIK3R2/CAMK2G/BAD/PLCG1/GAB1/ABL1/CRK/NCK2/ABL2/PIK3CD/CAMK2B/ERBB3/SOS2/AKT1/NCK1/MAPK3/ELK1/PAK2/STAT5B/CRKL/PIK3R3/SHC2/RPS6KB2/STAT5A/MAP2K2/NRG2/CBL,KEGG,PAK4/RAF1/MAP2K7/PIK3R2/CAMK2G/BAD/PLCG1/GAB1/ABL1/CRK/NCK2/CAMK2B/ERBB3,13
hsa01200,Carbon metabolism,94,-0.4248757698539178,-2.0033966577215963,9.383959683335438e-6,1.165776529891287e-4,6.040686597774635e-5,3927,"tags=56%, list=32%, signal=39%",ALDH6A1/ALDOA/IDH2/MMUT/ESD/CAT/SDHA/SUCLG2/ACAT1/IDH3B/MCEE/PGD/TPI1/CS/GLDC/GAPDH/ENO2/GOT1/SDS/GCSH/IDNK/ADPGK/PFKM/MDH1/ACO2/PRPS2/SDHD/TKFC/ACO1/DLST/SUCLA2/IDH3G/MDH2/ACOX1/DLD/ECHS1/G6PD/PDHA1/DLAT/AMT/FH/OGDHL/PRPS1/PGAM1/PGK1/SDHC/SDSL/ME3/SDHB/SUCLG1/PCCB/ME1/ME2,KEGG,ECHS1/PDHA1/SDSL/SDHB/SUCLG1/PCCB/ME1/ME2,8
hsa04330,Notch signaling pathway,56,0.5095250859236007,2.113266092402654,1.668389592918696e-5,1.9015325774336973e-4,9.853142571678602e-5,2215,"tags=43%, list=18%, signal=35%",CREBBP/EP300/DTX1/DTX3/DVL1/DLL4/TLE4/HEY2/DVL3/NOTCH1/MAML1/RBPJ/DLL1/SPEN/NCOR2/RFNG/ATXN1L/NOTCH4/NOTCH3/KAT2B/CTBP2/DVL2/HDAC1/NOTCH2,KEGG,CREBBP/DTX1/DTX3/DVL1/DLL4/TLE4/DVL3/RBPJ,8
hsa05211,Renal cell carcinoma,66,0.4729576412302523,2.0488684176135785,1.7072583512562608e-5,1.9015325774336973e-4,9.853142571678602e-5,1745,"tags=35%, list=14%, signal=30%",PAK4/RAF1/EGLN1/CREBBP/RAPGEF1/PIK3R2/EP300/BAD/TGFB1/GAB1/RAP1A/CRK/PIK3CD/SOS2/PTPN11/TGFB3/AKT1/MAPK3/PAK2/VHL/CRKL/PIK3R3/FLCN,KEGG,PAK4/RAF1/EGLN1/CREBBP/RAPGEF1/PIK3R2/BAD/TGFB1/GAB1/RAP1A/CRK/TGFB3,12
hsa00480,Glutathione metabolism,42,-0.5371477163744004,-2.149008357032959,2.2489866025419266e-5,2.2700708519407572e-4,1.1762791769873894e-4,3111,"tags=52%, list=25%, signal=39%",PGD/GSTO1/GSTO2/LANCL1/GSTM3/GCLM/LAP3/MGST1/GGCT/GGT7/TXNDC12/GPX7/RRM2B/G6PD/RRM1/GSTK1/GSR/GPX3/SMS/GSS/ODC1/GSTA4,KEGG,SMS/GSS/ODC1/GSTA4,4
hsa00785,Lipoic acid metabolism,16,-0.7033644053668663,-2.164544711914385,5.193601623022182e-5,4.659814789544902e-4,2.4145691756155763e-4,2836,"tags=75%, list=23%, signal=58%",GLDC/GCSH/DLST/DBT/DLD/PDHA1/DLAT/AMT/BCKDHB/OGDHL/LIPT1/LIAS,KEGG,PDHA1/LIAS,2
hsa00970,Aminoacyl-tRNA biosynthesis,42,-0.524924219863344,-2.1001048704246053,5.5739582838788174e-5,4.8337759067437736e-4,2.5047103443775787e-4,2977,"tags=55%, list=24%, signal=42%",MTFMT/GARS1/EPRS1/PARS2/TARS2/YARS1/WARS1/NARS1/YARS2/FARS2/FARSA/RARS2/SARS1/WARS2/GATB/KARS1/FARSB/HARS2/RARS1/AARS2/IARS1/LARS1/EARS2,KEGG,KARS1/FARSB/RARS1/LARS1/EARS2,5
hsa03060,Protein export,30,-0.5610379417656798,-2.045283220546046,1.266072881753318e-4,9.294125927416403e-4,4.815923162650182e-4,1991,"tags=50%, list=16%, signal=42%",SRP9/IMMP1L/SRPRA/HSPA5/SPCS2/SEC11C/SPCS3/SRPRB/SEC61G/SRP54/TMEM208/OXA1L/SEC61B/SPCS1/IMMP2L,KEGG,TMEM208/SEC61B/SPCS1,3
hsa00650,Butanoate metabolism,19,-0.6328662634982632,-2.014898190750527,2.687624417314999e-4,0.0015501833692727583,8.032561698366258e-4,3223,"tags=68%, list=26%, signal=51%",ACAT1/ABAT/HMGCLL1/HMGCL/OXCT1/HADH/ECHS1/GAD1/OXCT2/GAD2/HMGCS1/BDH1/ALDH5A1,KEGG,ECHS1/BDH1/ALDH5A1,3
hsa04392,Hippo signaling pathway - multiple species,21,0.6212161439744055,2.028027615359066,4.4167535508597624e-4,0.002338707208078202,0.001211844373747545,3505,"tags=71%, list=28%, signal=51%",TEAD2/NF2/WWC1/WTIP/TEAD1/WWTR1/SAV1/RASSF4/RASSF2/RASSF1/CSNK1E/YAP1/LATS1/FRMD6/MOB1B,KEGG,TEAD2/NF2/WTIP,3
hsa04960,Aldosterone-regulated sodium reabsorption,26,0.5777305819333911,2.022075958100657,4.932598388620548e-4,0.0025289353643245037,0.001310414609508216,1681,"tags=38%, list=14%, signal=33%",HSD11B2/SGK1/PIK3R2/INSR/ATP1B3/PIK3CD/NHERF2/MAPK3/IRS1/PIK3R3,KEGG,HSD11B2/SGK1/PIK3R2/INSR/ATP1B3/NHERF2,6
