RF_None-R1_Baseline,RF_Balanced-R1_Baseline,RF_BalancedSub-R1_Baseline,BRF_None-R1_Baseline,BRF_Balanced-R1_Baseline,BRF_BalancedSub-R1_Baseline,SVC_Balanced-R1_Baseline,HGB_Balanced-R1_Baseline,EEC-R1_Baseline,RBC-R1_Baseline,BBC-R1_Baseline,CC_RF-R2_FR,CNN_RF-R2_FR,ENN_RF-R2_FR,RENN_RF-R2_FR,AllKNN_RF-R2_FR,NearMiss_RF-R2_FR,NCR_RF-R2_FR,OSS_RF-R2_FR,RUS_RF-R2_FR,Tomek_RF-R2_FR,ROS_RF-R2_FR,SMOTE_RF-R2_FR,BorderlineSMOTE_RF-R2_FR,KMeansSMOTE_RF-R2_FR,SMOTEENN_RF-R2_FR,SMOTETomek_RF-R2_FR,CC_RF-R3_Resampl,CNN_RF-R3_Resampl,ENN_RF-R3_Resampl,RENN_RF-R3_Resampl,AllKNN_RF-R3_Resampl,NearMiss_RF-R3_Resampl,NCR_RF-R3_Resampl,OSS_RF-R3_Resampl,RUS_RF-R3_Resampl,Tomek_RF-R3_Resampl,ROS_RF-R3_Resampl,SMOTE_RF-R3_Resampl,BorderlineSMOTE_RF-R3_Resampl,KMeansSMOTE_RF-R3_Resampl,SMOTEENN_RF-R3_Resampl,SMOTETomek_RF-R3_Resampl
0.3592657342657342,0.3575174825174825,0.3286713286713286,0.3972902097902098,0.2958916083916084,0.2958916083916084,0.3881118881118881,0.3304195804195804,0.3122814685314685,0.3181818181818182,0.3083479020979021,0.3804632867132867,0.3905157342657342,0.2897727272727273,0.2897727272727273,0.3424388111888112,0.2060751748251748,0.3352272727272727,0.3784965034965035,0.4621940559440559,0.3706293706293706,0.340034965034965,0.3479020979020979,0.3479020979020979,0.3173076923076923,0.4136800699300699,0.3972902097902098,0.3924825174825175,0.3557692307692308,0.25,0.25,0.3887674825174825,0.4014423076923077,0.4733391608391608,0.3444055944055944,0.3269230769230769,0.3496503496503497,0.3286713286713286,0.3929195804195804,0.3809003496503497,0.319055944055944,0.3092220279720279,0.3870192307692307
0.340034965034965,0.3592657342657342,0.3365384615384615,0.3293269230769231,0.3282342657342657,0.3282342657342657,0.3881118881118881,0.3304195804195804,0.3015734265734265,0.3439685314685314,0.305506993006993,0.4031905594405594,0.340034965034965,0.2897727272727273,0.2897727272727273,0.323208041958042,0.3387237762237762,0.3118444055944055,0.3251748251748251,0.3760926573426573,0.3784965034965035,0.395979020979021,0.3846153846153846,0.3269230769230768,0.3406905594405594,0.2729458041958042,0.3173076923076923,0.3931381118881119,0.4254807692307693,0.25,0.25,0.3406905594405594,0.4536713286713286,0.4246066433566433,0.3767482517482517,0.4134615384615384,0.3461538461538461,0.385270979020979,0.4296328671328671,0.3616695804195804,0.4079982517482518,0.2545891608391608,0.3887674825174825
0.3627622377622377,0.3479020979020979,0.3444055944055944,0.3780594405594405,0.3347902097902098,0.3347902097902098,0.3881118881118881,0.3304195804195804,0.3522727272727273,0.2884615384615385,0.2226835664335664,0.3413461538461538,0.3809003496503497,0.3107517482517483,0.3107517482517483,0.3345716783216783,0.3133741258741259,0.3977272727272727,0.3898601398601399,0.4639423076923077,0.3592657342657342,0.3767482517482518,0.3671328671328671,0.3575174825174825,0.2902097902097902,0.3704108391608391,0.3942307692307692,0.3636363636363636,0.3406905594405594,0.25,0.25,0.3887674825174825,0.4230769230769231,0.4462412587412587,0.3479020979020979,0.2875874125874126,0.3479020979020979,0.3959790209790209,0.3791520979020979,0.3695367132867133,0.3599213286713286,0.3015734265734265,0.3496503496503496
0.3575174825174825,0.3479020979020979,0.3155594405594406,0.3946678321678322,0.2873688811188811,0.2873688811188811,0.3881118881118881,0.3304195804195804,0.315777972027972,0.4093094405594406,0.3118444055944055,0.2932692307692308,0.3406905594405594,0.2993881118881119,0.2993881118881119,0.3328234265734265,0.3457167832167832,0.3345716783216783,0.4097465034965035,0.4117132867132867,0.3592657342657342,0.3863636363636363,0.3791520979020979,0.3898601398601398,0.350305944055944,0.3524912587412587,0.3977272727272727,0.4141171328671329,0.3208041958041958,0.25,0.25,0.402534965034965,0.4232954545454546,0.371284965034965,0.3592657342657342,0.3715034965034965,0.3688811188811188,0.3575174825174825,0.3286713286713286,0.3365384615384615,0.3118444055944056,0.3221153846153846,0.3208041958041958
0.3417832167832167,0.3479020979020979,0.3575174825174825,0.4200174825174825,0.3774038461538461,0.3774038461538461,0.3881118881118881,0.3304195804195804,0.3865821678321678,0.3371940559440559,0.3293269230769231,0.4230769230769231,0.3304195804195804,0.3210227272727273,0.3210227272727273,0.3135926573426573,0.3177447552447552,0.3057255244755245,0.3784965034965035,0.3732517482517482,0.3784965034965035,0.3881118881118881,0.2980769230769231,0.3688811188811188,0.3406905594405594,0.3426573426573426,0.3286713286713286,0.4141171328671328,0.3684440559440559,0.25,0.25,0.3382867132867132,0.4195804195804196,0.4427447552447552,0.3592657342657342,0.385708041958042,0.3479020979020979,0.3347902097902098,0.3677884615384615,0.4289772727272727,0.4313811188811189,0.2268356643356643,0.3966346153846154
0.3784965034965035,0.3784965034965035,0.3784965034965035,0.4626311188811189,0.3389423076923077,0.3389423076923077,0.3881118881118881,0.3304195804195804,0.3776223776223776,0.3859265734265734,0.336756993006993,0.3522727272727273,0.3695367132867133,0.3409090909090909,0.3409090909090909,0.3135926573426573,0.2497814685314685,0.2943618881118881,0.3592657342657342,0.3468094405594406,0.3784965034965035,0.3479020979020979,0.3575174825174825,0.3557692307692308,0.3791520979020979,0.3739073426573426,0.3557692307692308,0.3715034965034965,0.3671328671328671,0.25,0.25,0.3802447552447552,0.4405594405594405,0.4217657342657342,0.3592657342657342,0.2843094405594405,0.3592657342657342,0.3870192307692308,0.3546765734265734,0.3173076923076923,0.4097465034965035,0.3483391608391608,0.3695367132867133
0.381993006993007,0.3653846153846153,0.3784965034965035,0.4075611888111888,0.2646416083916084,0.2646416083916084,0.3881118881118881,0.3304195804195804,0.4167395104895105,0.3677884615384615,0.239291958041958,0.34375,0.3581730769230769,0.2993881118881119,0.2993881118881119,0.3328234265734265,0.2943618881118881,0.3159965034965035,0.3592657342657342,0.3690996503496503,0.3592657342657342,0.3671328671328671,0.3076923076923077,0.340034965034965,0.4097465034965035,0.2808129370629371,0.40625,0.4333479020979021,0.350305944055944,0.25,0.25,0.3784965034965035,0.4388111888111888,0.423513986013986,0.3592657342657342,0.3708479020979021,0.3592657342657342,0.3653846153846154,0.4375,0.3304195804195804,0.3653846153846153,0.3135926573426573,0.284965034965035
0.3382867132867132,0.3653846153846154,0.3557692307692308,0.2884615384615385,0.2795017482517482,0.2795017482517482,0.3881118881118881,0.3304195804195804,0.2941433566433566,0.3581730769230769,0.3323863636363636,0.4038461538461538,0.340034965034965,0.3306381118881119,0.3306381118881119,0.3760926573426573,0.298513986013986,0.3256118881118881,0.3977272727272727,0.3299825174825175,0.3784965034965035,0.3942307692307693,0.416520979020979,0.3671328671328671,0.350305944055944,0.3710664335664335,0.4079982517482518,0.4158653846153846,0.3599213286713286,0.25,0.25,0.3592657342657342,0.4291958041958041,0.3826486013986014,0.3671328671328671,0.3612325174825175,0.3496503496503497,0.4375,0.3426573426573427,0.375,0.3581730769230769,0.3293269230769231,0.3767482517482517
0.3671328671328671,0.3479020979020979,0.3479020979020979,0.284965034965035,0.416083916083916,0.416083916083916,0.3881118881118881,0.3304195804195804,0.3843968531468531,0.4045017482517482,0.3612325174825175,0.3756555944055944,0.3592657342657342,0.3323863636363636,0.3323863636363636,0.3118444055944055,0.3127185314685314,0.2854020979020979,0.3575174825174825,0.3883304195804196,0.3784965034965035,0.3784965034965035,0.3688811188811188,0.3304195804195804,0.3581730769230769,0.3085664335664335,0.3653846153846154,0.2956730769230769,0.4110576923076923,0.25,0.25,0.3723776223776224,0.4230769230769231,0.4348776223776223,0.3671328671328671,0.3216783216783216,0.340034965034965,0.4121503496503496,0.2926136363636363,0.3575174825174825,0.3389423076923077,0.2084790209790209,0.3173076923076923
0.361013986013986,0.3173076923076923,0.3155594405594406,0.2805944055944055,0.4320367132867133,0.4320367132867133,0.3881118881118881,0.3304195804195804,0.3061625874125874,0.3415646853146853,0.4073426573426573,0.4344405594405595,0.319055944055944,0.3323863636363636,0.3323863636363636,0.3538024475524475,0.3710664335664335,0.3352272727272727,0.3479020979020979,0.2784090909090909,0.3706293706293706,0.375,0.3791520979020979,0.3424388111888112,0.3468094405594405,0.3398164335664335,0.4471153846153846,0.3942307692307693,0.4313811188811188,0.25,0.25,0.3784965034965035,0.4370629370629371,0.4324737762237762,0.3592657342657342,0.402534965034965,0.3592657342657342,0.3575174825174825,0.3275786713286713,0.3520541958041958,0.3599213286713286,0.3170891608391608,0.3461538461538461
